"hourly_timestamp","mean_close"
"2017-08-27 23",4320.11433333334
"2017-08-28 00",4298.56183333333
"2017-08-28 01",4285.554
"2017-08-28 02",4296.76266666666
"2017-08-28 03",4265.57733333333
"2017-08-28 04",4188.89966666667
"2017-08-28 05",4191.309
"2017-08-28 06",4243.44933333333
"2017-08-28 07",4256.368
"2017-08-28 08",4269.25466666666
"2017-08-28 09",4248.6145
"2017-08-28 10",4270.626
"2017-08-28 11",4311.728
"2017-08-28 12",4301.84283333333
"2017-08-28 13",4312.08883333333
"2017-08-28 14",4297.128
"2017-08-28 15",4288.46316666667
"2017-08-28 16",4294.40783333333
"2017-08-28 17",4347.31683333333
"2017-08-28 18",4327.477
"2017-08-28 19",4330.93733333333
"2017-08-28 20",4319.75833333333
"2017-08-28 21",4326.14733333334
"2017-08-28 22",4350.233
"2017-08-28 23",4362.35083333333
"2017-08-29 00",4356.40383333333
"2017-08-29 01",4362.05016666666
"2017-08-29 02",4332.853
"2017-08-29 03",4360.97533333333
"2017-08-29 04",4365.33666666667
"2017-08-29 05",4369.49883333333
"2017-08-29 06",4368.69566666667
"2017-08-29 07",4360.19983333333
"2017-08-29 08",4351.55133333333
"2017-08-29 09",4347.35266666667
"2017-08-29 10",4354.3365
"2017-08-29 11",4369.37333333333
"2017-08-29 12",4381.36316666667
"2017-08-29 13",4479.083
"2017-08-29 14",4559.966
"2017-08-29 15",4569.73316666667
"2017-08-29 16",4542.48566666667
"2017-08-29 17",4521.25183333333
"2017-08-29 18",4531.23783333333
"2017-08-29 19",4540.71266666667
"2017-08-29 20",4576.66916666666
"2017-08-29 21",4608.13466666667
"2017-08-29 22",4589.516
"2017-08-29 23",4590.7975
"2017-08-30 00",4570.2845
"2017-08-30 01",4594.63283333333
"2017-08-30 02",4590.30266666667
"2017-08-30 03",4587.75416666667
"2017-08-30 04",4596.77816666667
"2017-08-30 05",4581.75033333333
"2017-08-30 06",4606.13016666667
"2017-08-30 07",4586.34783333333
"2017-08-30 08",4567.94333333333
"2017-08-30 09",4541.331
"2017-08-30 10",4483.7465
"2017-08-30 11",4526.35866666667
"2017-08-30 12",4519.57733333333
"2017-08-30 13",4566.10933333333
"2017-08-30 14",4557.4205
"2017-08-30 15",4540.52583333333
"2017-08-30 16",4559.91933333333
"2017-08-30 17",4570.03516666667
"2017-08-30 18",4587.157
"2017-08-30 19",4550.07483333333
"2017-08-30 20",4537.40349999999
"2017-08-30 21",4545.9495
"2017-08-30 22",4554.875
"2017-08-30 23",4557.8545
"2017-08-31 00",4569.812
"2017-08-31 01",4577.93866666666
"2017-08-31 02",4587.60516666667
"2017-08-31 03",4598.2045
